country,provpcode,province,ctypcode,county,scpcode,subcounty,dhis2_id,pop_f0,pop_f1,pop_f5,pop_f10,pop_f15,pop_f20,pop_f25,pop_f30,pop_f35,pop_f40,pop_f45,pop_f50,pop_f55,pop_f60,pop_f65,pop_f70,pop_f75,pop_f80,pop_m0,pop_m1,pop_m5,pop_m10,pop_m15,pop_m20,pop_m25,pop_m30,pop_m35,pop_m40,pop_m45,pop_m50,pop_m55,pop_m60,pop_m65,pop_m70,pop_m75,pop_m80
Kenya,KEN_1_1,Coast,KEN_2_1,Mombasa,KEN_3_6,Mvita  Sub County,C1xuoa1NAMm,2051.159912,7748.220215,8010.475586,7533.860352,9163.054688,11125.4209,9708.00293,8133.973145,6331.952637,4309.815918,2948.137207,2137.105469,1500.798828,1141.147583,757.6885986,455.0513306,212.3561859,201.7674561,2093.093018,7895.575195,7840.724121,7030.691895,7576.17334,10421.01758,10891.67285,10229.84473,8927.357422,6726.605957,4442.309082,2729.022461,1671.62915,1011.167358,703.2185669,371.9767761,185.8918762,135.1798706
Kenya,KEN_1_7,Nyanza,KEN_2_42,Kisumu,KEN_3_240,Kisumu Central Sub County,OpLt8IgyHop,2985.083496,11276.1123,11479.54199,11442.19629,12342.44043,12294.75684,8822.009766,6856.036621,5178.309082,4256.183594,3230.383301,2380.373535,1811.050659,1308.376709,996.6992188,638.069397,373.3000183,264.2402649,2941.8479,11097.2666,10982.89648,10573.16992,10403.09863,11629.06641,10664.00684,8594.625,6524.599609,4973.613281,3549.417725,2447.683838,1683.648315,1091.901245,722.7144775,456.8679504,242.168808,161.4605713
Kenya,KEN_1_3,Eastern,KEN_2_15,Kitui,KEN_3_70,Kitui West  Sub County,cmWAJB5kCDW,1712.167358,6467.688965,8286.725586,8468.794922,7654.384277,4504.726074,4091.646729,4422.103516,4120.893555,3260.193604,2644.510986,2052.255127,1978.343018,1833.004395,1185.416626,878.7981567,441.2932739,645.3850708,1720.918335,6491.65918,8300.006836,8450.331055,7825.592285,4467.304199,3261.177734,3321.814453,3356.285889,2718.031006,2135.227783,1603.05542,1358.713867,1056.389404,870.789978,624.4026489,355.206604,437.2003479
Kenya,KEN_1_6,Western,KEN_2_39,Bungoma,KEN_3_219,Bumula Sub County,jkQZEow83MX,3872.881348,14629.75879,16757.59766,15338.8457,13502.34766,10794.03223,8055.855469,7730.381348,6277.399414,5004.569824,4030.478027,3177.671875,2724.598877,1847.954834,1390.120117,825.7440186,520.586792,374.3771667,3813.510498,14385.36035,15772.72754,14450.49219,13029.29102,10274.83203,7869.736816,7195.621582,6285.244629,5027.669922,3902.360596,2693.438232,1947.230957,1235.872803,1134.763062,659.8088379,421.3751831,302.7331848
Kenya,KEN_1_7,Nyanza,KEN_2_42,Kisumu,KEN_3_244,Nyakach Sub County,kBQIjtWUBqj,2730.727295,10315.29492,11254.59375,11032.15625,9767.25293,7745.997559,5627.237793,5053.119629,4173.581543,3859.59375,3225.188477,2884.431885,2335.555176,1849.212646,1449.106812,992.4489136,578.692688,423.2791748,2737.321045,10325.74805,11006.30273,10771.21191,10089.85156,7214.197266,5518.901855,5017.65625,3916.541748,3101.766602,2628.956543,2235.815918,1705.392334,1299.74646,956.3583984,659.9116821,388.5736389,261.5892639
Kenya,KEN_1_7,Nyanza,KEN_2_46,Nyamira,KEN_3_273,Borabu Sub County,ABuzigW8Lzw,2179.203857,8231.887695,9743.515625,9122.544922,8624.730469,7124.468262,5990.336426,5460.325195,5226.530273,3557.720459,3241.56958,2168.316406,1524.625732,1219.694336,935.6629028,618.1480713,335.3122253,274.6155701,2215.46167,8357.15625,9610.614258,8955.267578,8428.943359,6263.727539,5199.380859,5190.785645,5100.847168,4227.211426,3934.673096,2502.755371,1539.635376,1041.423828,747.7581177,487.6992493,334.2750549,244.9743652
Kenya,KEN_1_3,Eastern,KEN_2_17,Makueni,KEN_3_86,Makueni  Sub County,AIGIQpolMRn,3146.367676,11885.3623,15748.07617,16637.71875,14288.25781,8349.037109,7825.246094,8354.192383,8028.191406,6278.094727,5424.038574,4505.839355,4258.185547,3125.182617,2434.279785,1630.402344,914.4350586,1225.30127,3140.535156,11846.75391,15906.79395,16585.78125,15310.74316,9570.063477,6825.807129,6790.748535,6776.427734,5558.537598,4504.44043,3574.601318,2903.905029,2193.778076,1624.317627,1118.274048,620.5161133,805.6624756
Kenya,KEN_1_1,Coast,KEN_2_3,Kilifi,KEN_3_15,Ganze Sub County,x7qUMtZZvo9,3080.905518,11638.08691,13513.39746,12552.38672,10515.80273,8431.488281,6922.321289,7061.47998,5343.057129,4391.842773,3378.151855,3277.212646,2262.470459,1890.555176,1515.341431,846.4104004,492.4335327,397.6858215,3071.879395,11587.77832,13389.12598,12159.4043,10243.60352,7121.174316,5794.568848,5685.356445,5072.542969,4074.235596,3072.06543,2240.46167,1780.90564,1244.881226,1091.537476,592.9819336,378.7327271,316.9413757
Kenya,KEN_1_4,Central,KEN_2_19,Nyeri,,Kieni West Sub County,odOtfcaMg4p,940.9210205,3554.306641,4672.687012,4997.002441,4289.793457,3573.007324,3612.85791,3956.09668,3788.710938,3324.698975,2496.540039,1768.912231,1554.574219,1437.320313,1214.103394,725.4324341,367.6187134,409.2684937,978.7205811,3691.94165,4706.919434,4895.525879,4350.280273,4025.73584,3684.026367,3802.05249,3719.150391,3331.346924,2541.718018,1437.675293,1179.077637,1063.495361,830.2644043,523.5976563,276.6309509,268.445282
Kenya,KEN_1_3,Eastern,KEN_2_12,Meru,KEN_3_54,Tigania West Sub County,Q4xAPhWUnYC,2423.665283,9155.349609,11116.1416,10753.19141,8947.520508,6932.702148,6322.808594,5927.832031,5166.946777,3888.904053,3460.645752,2980.102295,2263.393555,2110.399414,1336.473755,1035.645142,555.2543335,553.8510132,2414.237305,9106.999023,10996.00488,10391.27441,8165.528809,6222.141602,5611.102539,5448.55957,4795.986816,3689.774902,3155.704102,2347.184082,1904.032349,1490.990967,1069.361572,726.095459,435.462616,399.8493347
