ccode,year,name,spend_group,hc,exp
AGO,2023,Benguela,"[0,12)",720867,848613685
AGO,2023,Benguela,"[12,40)",83507,537834800
AGO,2023,Benguela,"[40,80)",6272,120037185
AGO,2023,Benguela,"[80,120)",1168,40656620
AGO,2023,Benguela,"[120,Inf)",1040,101893035
AGO,2023,Cabinda,"[0,12)",641446,976581590
AGO,2023,Cabinda,"[12,40)",228017,1596729000
AGO,2023,Cabinda,"[40,80)",26852,513132695
AGO,2023,Cabinda,"[80,120)",4969,172195320
AGO,2023,Cabinda,"[120,Inf)",4212,403333760
AGO,2023,Cuito,"[0,12)",621786,424771670
AGO,2023,Cuito,"[12,40)",13629,85623890
AGO,2023,Cuito,"[40,80)",984,18715375
AGO,2023,Cuito,"[80,120)",216,7623025
AGO,2023,Cuito,"[120,Inf)",157,16565525
AGO,2023,Huambo,"[0,12)",626822,795549985
AGO,2023,Huambo,"[12,40)",97590,637284525
AGO,2023,Huambo,"[40,80)",7810,149021470
AGO,2023,Huambo,"[80,120)",1454,50302840
AGO,2023,Huambo,"[120,Inf)",1291,124973810
AGO,2023,Lobito,"[0,12)",292104,479407425
AGO,2023,Lobito,"[12,40)",149331,1096502340
AGO,2023,Lobito,"[40,80)",24032,461190640
AGO,2023,Lobito,"[80,120)",4610,159969645
AGO,2023,Lobito,"[120,Inf)",3793,360653580
AGO,2023,Luanda,"[0,12)",8284521,9769398740
AGO,2023,Luanda,"[12,40)",965993,6223504405
AGO,2023,Luanda,"[40,80)",72523,1387742410
AGO,2023,Luanda,"[80,120)",13582,472560755
AGO,2023,Luanda,"[120,Inf)",12038,1179144910
AGO,2023,Lubango,"[0,12)",697624,1044217550
AGO,2023,Lubango,"[12,40)",228267,1583501400
AGO,2023,Lubango,"[40,80)",25442,486245700
AGO,2023,Lubango,"[80,120)",4680,162586695
AGO,2023,Lubango,"[120,Inf)",3970,382094410
AGO,2023,Malanje,"[0,12)",734088,716609610
AGO,2023,Malanje,"[12,40)",44515,281752625
AGO,2023,Malanje,"[40,80)",3143,60146160
AGO,2023,Malanje,"[80,120)",604,21028745
AGO,2023,Malanje,"[120,Inf)",538,53132685
AGO,2023,Residual_AGO,"[0,12)",14567215,21611857320
AGO,2023,Residual_AGO,"[12,40)",4566264,31531964925
AGO,2023,Residual_AGO,"[40,80)",494471,9446913210
AGO,2023,Residual_AGO,"[80,120)",91049,3158163230
AGO,2023,Residual_AGO,"[120,Inf)",77649,7466192895
AGO,2023,Uige,"[0,12)",616253,424860
AGO,2023,Uige,"[12,40)",0,365
AGO,2023,Uige,"[40,80)",0,0
AGO,2023,Uige,"[80,120)",0,0
AGO,2023,Uige,"[120,Inf)",0,0
AGO,2030,Benguela,"[0,12)",943614,1114537720
AGO,2030,Benguela,"[12,40)",110640,712512485
AGO,2030,Benguela,"[40,80)",8373,159869270
AGO,2030,Benguela,"[80,120)",1565,54420770
AGO,2030,Benguela,"[120,Inf)",1380,135181035
AGO,2030,Cabinda,"[0,12)",861852,1307566145
AGO,2030,Cabinda,"[12,40)",301149,2104468455
AGO,2030,Cabinda,"[40,80)",35067,669885230
AGO,2030,Cabinda,"[80,120)",6478,224364040
AGO,2030,Cabinda,"[120,Inf)",5505,527065110
AGO,2030,Cuito,"[0,12)",845885,565114535
AGO,2030,Cuito,"[12,40)",17502,110144955
AGO,2030,Cuito,"[40,80)",1273,24540775
AGO,2030,Cuito,"[80,120)",256,9231580
AGO,2030,Cuito,"[120,Inf)",200,21255045
AGO,2030,Huambo,"[0,12)",788269,1016599095
AGO,2030,Huambo,"[12,40)",131140,859669170
AGO,2030,Huambo,"[40,80)",10697,204153625
AGO,2030,Huambo,"[80,120)",2010,69805155
AGO,2030,Huambo,"[120,Inf)",1731,168969815
AGO,2030,Lobito,"[0,12)",371028,612701045
AGO,2030,Lobito,"[12,40)",195175,1439079295
AGO,2030,Lobito,"[40,80)",32334,620734330
AGO,2030,Lobito,"[80,120)",6239,216331120
AGO,2030,Lobito,"[120,Inf)",5132,487032275
AGO,2030,Luanda,"[0,12)",10708411,12733371020
AGO,2030,Luanda,"[12,40)",1288219,8306272880
AGO,2030,Luanda,"[40,80)",97828,1869525620
AGO,2030,Luanda,"[80,120)",18254,635773790
AGO,2030,Luanda,"[120,Inf)",16052,1575400590
AGO,2030,Lubango,"[0,12)",932364,1391980790
AGO,2030,Lubango,"[12,40)",301297,2087420035
AGO,2030,Lubango,"[40,80)",33275,635931835
AGO,2030,Lubango,"[80,120)",6128,212699370
AGO,2030,Lubango,"[120,Inf)",5207,500926730
AGO,2030,Malanje,"[0,12)",991839,955763815
AGO,2030,Malanje,"[12,40)",57739,365388360
AGO,2030,Malanje,"[40,80)",4048,77538045
AGO,2030,Malanje,"[80,120)",801,27995500
AGO,2030,Malanje,"[120,Inf)",682,68298070
AGO,2030,Residual_AGO,"[0,12)",14613930,22869384885
AGO,2030,Residual_AGO,"[12,40)",5943327,42306214870
AGO,2030,Residual_AGO,"[40,80)",775769,14838511075
AGO,2030,Residual_AGO,"[80,120)",145021,5026804455
AGO,2030,Residual_AGO,"[120,Inf)",121312,11593925700
AGO,2030,Uige,"[0,12)",846615,561005
AGO,2030,Uige,"[12,40)",0,0
AGO,2030,Uige,"[40,80)",0,365
AGO,2030,Uige,"[80,120)",0,0
AGO,2030,Uige,"[120,Inf)",0,0
COD,2023,Bukavu,"[0,12)",1252848,135586550
COD,2023,Bukavu,"[12,40)",9,55845
COD,2023,Bukavu,"[40,80)",0,5475
COD,2023,Bukavu,"[80,120)",0,2190
COD,2023,Bukavu,"[120,Inf)",0,365
COD,2023,Bunia,"[0,12)",811972,103344275
COD,2023,Bunia,"[12,40)",6,42705
COD,2023,Bunia,"[40,80)",0,4380
COD,2023,Bunia,"[80,120)",0,0
