OBJECTID,REGIONNAME,ZONENAME,WOREDANAME,REG_P_CODE,ZON_P_CODE,WOR_P_CODE,REG_Pcode,HRname,HRpcode,HRparent,DRMF_Name,pop_2020
"1",Addis Ababa,Region 14,Nefas Silk,"14","1401","140102",ET14,Nefas Silk,ET140102,ET1401,,479262.65625
"2",Addis Ababa,Region 14,Bole,"14","1401","140104",ET14,Bole,ET140104,ET1401,,458709
"3",Addis Ababa,Region 14,Lideta,"14","1401","140105",ET14,Lideta,ET140105,ET1401,,300521.53125
"4",Addis Ababa,Region 14,Kirkos,"14","1401","140106",ET14,Kirkos,ET140106,ET1401,,307812.25
"5",Addis Ababa,Region 14,Yeka,"14","1401","140107",ET14,Yeka,ET140107,ET1401,,485744.875
"6",Addis Ababa,Region 14,Addis Ketema,"14","1401","140108",ET14,Addis Ketema,ET140108,ET1401,,355207.1875
"7",Addis Ababa,Region 14,Arada,"14","1401","140109",ET14,Arada,ET140109,ET1401,,291552.125
"8",Addis Ababa,Region 14,Gulele,"14","1401","140110",ET14,Gulele,ET140110,ET1401,,360386.59375
"9",Tigray,Central,Adwa,"01","0102","010204",ET01,Adwa,ET010204,ET0102,Adwa,213533.59375
"10",Tigray,Central,Ahferom,"01","0102","010202",ET01,Ahferom,ET010202,ET0102,Ahferom,263692
"11",Tigray,Southern,Alaje,"01","0104","010404",ET01,Alaje,ET010404,ET0104,,164590.125
"12",Tigray,Southern,Alamata,"01","0104","010407",ET01,Alamata,ET010407,ET0104,Alamata,180806.984375
"13",Tigray,North Western,Asgede Tsimbila,"01","0101","010105",ET01,Asgede Tsimbila,ET010105,ET0101,,206790.796875
"14",Tigray,"Eastern
",Atsbi Wenberta,"01","0103","010307",ET01,Atsbi Wenberta,ET010307,ET0103,Atsbi Wenberta,172027.015625
"15",Tigray,Central,Degua Temben,"01","0102","010209",ET01,Degua Temben,ET010209,ET0102,,172201.125
"16",Tigray,Southern,Enderta,"01","0104","010402",ET01,Enderta,ET010402,ET0104,Enderta,501604.9375
