OBJECTID,REGIONNAME,ZONENAME,WOREDANAME,REG_P_CODE,ZON_P_CODE,WOR_P_CODE,REG_Pcode,HRname,HRpcode,HRparent,DRMF_Name,pop_2020,pop_2022,pop_2030,cons_class12,cons_class40,cons_class80,cons_class12_2030,cons_class40_2030,cons_class80_2030,Females_2022_12USD,Males_2022_12USD,Females_2022_40USD,Males_2022_40USD,Females_2022_80USD,Males_2022_80USD,Females_2030_12USD,Males_2030_12USD,Females_2030_40USD,Males_2030_40USD,Females_2030_80USD,Males_2030_80USD
"1",Addis Ababa,Region 14,Nefas Silk,"14","1401","140102",ET14,Nefas Silk,ET140102,ET1401,,479262.65625,635567.708249755,893589.142467391,188697.203964884,9205.41015003948,8817.38335279884,542118.0205437,45261.6599381287,10162.3612880824,62775.4403104571,71081.3464601635,3062.48580311976,3467.68486155043,2933.39619117418,3321.51487794992,199742.371992864,209867.814932886,15743.2231819651,16677.0134103558,3534.74269465023,3744.40167934409
"2",Addis Ababa,Region 14,Bole,"14","1401","140104",ET14,Bole,ET140104,ET1401,,458709,608310.754200426,855266.682280911,180604.736473306,8810.62696925796,8439.24108760352,518868.749406302,43320.5685813521,9726.53830483999,60083.253042667,68032.9521363478,2931.1480499129,3318.96974323657,2807.59457451953,3179.06840493486,191176.221471928,200867.424708827,15068.0593791331,15961.8030837363,3383.15173438952,3583.81928475207
"3",Addis Ababa,Region 14,Lideta,"14","1401","140105",ET14,Lideta,ET140105,ET1401,,300521.53125,398532.575833817,560324.852981229,118322.535542055,5772.25018055881,5528.93807236074,339934.972039691,28381.3127814989,6372.30615735094,39363.3244755684,44571.5408929696,1920.33097297039,2174.41094334289,1839.38536340861,2082.75509091716,125248.405449496,131597.561965736,9871.78424138832,10457.3171754542,2216.45954116843,2347.92615618392
"4",Addis Ababa,Region 14,Kirkos,"14","1401","140106",ET14,Kirkos,ET140106,ET1401,,307812.25,408201.064181497,573918.457721393,121193.066398317,5912.28624534939,5663.0713316453,348181.869571864,29069.8497005842,6526.89971272415,40318.2874248874,45652.8563233586,1966.91862668228,2227.16263327637,1884.00925874715,2133.28318961893,128286.959440021,134790.147896225,10111.2759083091,10711.0140007321,2270.23133937603,2404.88736352006
"5",Addis Ababa,Region 14,Yeka,"14","1401","140107",ET14,Yeka,ET140107,ET1401,,485744.875,644164.015225866,905675.292344833,191249.408977443,9329.91699716779,8936.64198259209,549450.38318797,45873.8419574889,10299.8112813727,63624.503200948,72042.7500470914,3103.90714616769,3514.58668362127,2973.07154568728,3366.43969264072,202443.967312292,212706.360910209,15956.1565602802,16902.5766742839,3582.55150068359,3795.04620684242
"6",Addis Ababa,Region 14,Addis Ketema,"14","1401","140108",ET14,Addis Ketema,ET140108,ET1401,,355207.1875,471053.221378994,662286.706333337,139853.590166885,6822.62180568022,6535.03439296392,401792.659743443,33545.8369613043,7531.8694757967,46526.2363047958,52682.1875866273,2269.77202312505,2570.08671705299,2174.09680746473,2461.75232443013,148039.754933783,155544.262247286,11668.1447129768,12360.2265942085,2619.78686369408,2775.17635068212
"7",Addis Ababa,Region 14,Arada,"14","1401","140109",ET14,Arada,ET140109,ET1401,,291552.125,386637.918696792,543601.32166733,114791.065149926,5599.97082130385,5363.92063918109,329789.226907473,27534.2402832764,6182.11744628947,38188.4813716371,43241.2526577318,1863.01651513642,2109.51318036342,1784.48681918087,2020.59290090039,121510.224607782,127669.883340279,9577.14963432683,10145.2066732828,2150.3067900536,2277.84963470402
"8",Addis Ababa,Region 14,Gulele,"14","1401","140110",ET14,Gulele,ET140110,ET1401,,360386.59375,477921.821127959,671943.751648825,141892.846647289,6922.10495598029,6630.32412574525,407651.345846407,34034.9811107843,7641.69442644505,47204.6524168178,53450.3658815832,2302.86840128505,2607.56209388597,2205.79811022254,2497.64803775971,150198.376884395,157812.310170824,11838.2822095675,12540.4555904854,2657.98693658952,2815.64221466629
"9",Tigray,Central,Adwa,"01","0102","010204",ET01,Adwa,ET010204,ET0102,Adwa,213533.59375,283174.695637517,398135.132038138,84073.297945793,4101.43432968685,3928.55051450623,241538.554389157,20166.1547788891,4527.8001499415,27969.3508223979,31670.0146783605,1364.47851886753,1545.01336756161,1306.96314938263,1479.88790558463,88994.4291706653,93505.7804956592,7014.33124282427,7430.37781076901,1574.89072166829,1668.30345867132
"10",Tigray,Central,Ahferom,"01","0102","010202",ET01,Ahferom,ET010202,ET0102,Ahferom,263692,349691.589649688,491655.890736868,103821.865649288,5064.84905850457,4851.35534919164,298275.242623203,24903.1245743029,5591.36694217874,34539.268166369,39109.2069585245,1684.99046580214,1907.93241365122,1613.96490704173,1827.50917430023,109898.955966366,115470.010303526,8661.97679531546,9175.75146499543,1944.82786940008,2060.18298057122
"11",Tigray,Southern,Alaje,"01","0104","010404",ET01,Alaje,ET010404,ET0104,,164590.125,218268.974606324,306879.634245132,64803.0802790735,3161.3554436441,3028.09786926744,186176.142877896,15543.9239209953,3489.99508492509,21558.5700928022,24411.0146001942,1051.73001604213,1190.88495083054,1007.39759187086,1140.68672328596,68596.252066326,72073.5685178488,5406.59498008309,5727.28061751032,1213.9141958347,1285.91604711212
"12",Tigray,Southern,Alamata,"01","0104","010407",ET01,Alamata,ET010407,ET0104,Alamata,180806.984375,239774.743965915,337116.101187513,71188.0468130777,3472.83984566376,3326.45256897769,204519.845624527,17075.4473241306,3833.85994019311,23682.709068461,26816.2013692815,1155.35566047628,1308.22135712722,1106.65521794098,1253.07716094106,75354.9550772852,79174.8871741678,5939.30002839379,6291.58242100751,1333.51964486858,1412.61574859222
"13",Tigray,North Western,Asgede Tsimbila,"01","0101","010105",ET01,Asgede Tsimbila,ET010105,ET0101,,206790.796875,274232.826495095,385563.132115365,81418.4970748653,3971.92244307659,3804.49781784481,233911.438762405,19529.3637099248,4384.82481680776,27086.156529598,30669.9637156325,1321.39208299835,1496.22614338917,1265.69288888341,1433.15716233301,86184.2326654404,90553.1280654344,6792.83817490118,7195.74714960391,1525.16005376709,1615.62307639456
"14",Tigray,"Eastern
",Atsbi Wenberta,"01","0103","010307",ET01,Atsbi Wenberta,ET010307,ET0103,Atsbi Wenberta,172027.015625,228131.306814761,320745.777641773,67731.1625087854,3304.19909639136,3164.92037095482,194588.382746888,16246.2653408329,3647.6880918924,22532.6791276642,25514.0093614348,1099.25170725134,1244.69426123895,1052.91615324647,1192.22786160436,71695.7261319918,75330.1627152265,5650.88822380322,5986.0638193039,1268.76406670366,1344.01927168471
"15",Tigray,Central,Degua Temben,"01","0102","010209",ET01,Degua Temben,ET010209,ET0102,,172201.125,228362.199614378,321070.405995501,67799.7135461302,3307.54329228675,3168.12360217818,194785.326590732,16262.7082646045,3651.37993466237,22555.4845612511,25539.8322137788,1100.36426522383,1245.95402232417,1053.98181478052,1193.4345211926,71768.2897233653,75406.404737454,5656.60751512073,5992.12234346363,1270.04818895547,1345.37956009366
"16",Tigray,Southern,Enderta,"01","0104","010402",ET01,Enderta,ET010402,ET0104,Enderta,501604.9375,665196.623221438,935246.508595534,197493.89602318,9634.54824354973,9228.43240114058,567390.495099619,47371.6693932615,10636.1105591794,65701.9077176678,74395.0188557303,3205.25286048411,3629.34150108363,3070.14534503837,3476.3573606918,209053.96803401,219651.439184444,16477.1412444847,17454.4629344636,3699.52543830941,3918.95831200032
"17",Tigray,"Eastern
",Erob,"01","0103","010302",ET01,Erob,ET010302,ET0103,Erob,37801.73046875,50130.2550669957,70481.6356393379,14883.4480455878,726.07458312915,695.469059805648,42759.4326985396,3570.0028934799,801.553881422719,4951.39824421278,5606.52465866505,241.552854962099,273.512836390315,231.37094186404,261.983712953237,15754.6331031566,16553.2750584684,1241.74306442016,1315.39555135535,278.802007369109,295.338810991077
"18",Tigray,"Eastern
",Ganta Afeshum,"01","0103","010304",ET01,Ganta Afeshum,ET010304,ET0103,Ganta Afeshum,221971.703125,294364.78058883,413868.055983122,87395.5840138772,4263.50883450128,4083.79324865619,251083.322987026,20963.051495275,4706.72315789724,29074.6028684223,32921.5041656621,1418.39799251963,1606.06695427071,1358.60981448066,1538.36795919476,92511.1813309224,97200.8056631786,7291.51336288322,7724.00065279473,1637.12495811667,1734.22904353007
"19",Tigray,"Eastern
",Gulomekeda,"01","0103","010301",ET01,Gulomekeda,ET010301,ET0103,Gulomekeda,125204.4296875,166038.165923139,233444.683199374,49295.9872795204,2404.85694607093,2303.48732501153,141625.008125156,11824.3310747476,2654.85456202323,16399.6987871981,18569.5658297274,800.055634223379,905.911403203344,766.33176479301,867.725391429902,52181.4696881987,54826.6795582068,4112.82050507346,4356.76747542206,923.42985084338,978.201974782371
"20",Tigray,"Eastern
",Hawzen,"01","0103","010305",ET01,Hawzen,ET010305,ET0103,Hawzen,180176.609375,238938.780660902,335940.761844176,70939.853054607,3460.73195378515,3314.85504941606,203806.796855248,17015.9145845954,3820.49336882889,23600.1404233357,26722.7079514437,1151.32756760702,1303.66030523617,1102.7969168614,1248.70836668204,75092.2335902197,78898.847674505,5918.59293973601,6269.6471164486,1328.87039169376,1407.69073059252
"21",Tigray,Southern,Hintalo Wejirat,"01","0104","010403",ET01,Hintalo Wejirat,ET010403,ET0104,,234075.40625,310415.943257509,436435.509455873,92161.1022688967,4495.99002231538,4306.4748806378,264774.428467088,22106.1276095759,4963.37199643261,30659.9867558383,34716.6524086129,1495.74059057541,1693.64279091877,1432.69227465769,1622.25229586005,97555.6435700663,102500.984373775,7689.10599218611,8145.17600768259,1726.39432980957,1828.79331995868
"22",Tigray,Western,Kafta Humera,"01","0105","010501",ET01,Kafta Humera,ET010501,ET0105,,171181.859375,227010.514251601,319169.976901115,67398.4042201754,3287.96580589676,3149.37134673588,193632.384136679,16166.4486176161,3629.76726487745,22421.9777094898,25388.660884069,1093.85116334647,1238.57916861584,1047.74325255754,1186.37053259706,71343.4902298657,74960.0710897863,5623.12581983983,5956.65472195136,1262.53072087217,1337.41620248969
"23",Tigray,"Eastern
",Kelete Awelallo,"01","0103","010306",ET01,Kelete Awelallo,ET010306,ET0103,Kelete Awelallo,197645.25,262104.582843659,368511.1851655,77817.6758935419,3796.25987280767,3636.23978288996,223566.452137621,18665.6564562794,4190.90119202953,25888.241932099,29313.5513653024,1262.95208751528,1430.05392230025,1209.71625056311,1369.77423521329,82372.6416679738,86548.3179388943,6492.41755231225,6877.50744139711,1457.70819916625,1544.17039667773
"24",Tigray,Central,Kola Temben,"01","0102","010208",ET01,Kola Temben,ET010208,ET0102,Kola Temben,229192.65625,303940.750193775,427331.58214486,90238.6464700895,4402.2048800266,4216.64297321829,259251.305122738,21644.9997349526,4859.83739190565,30020.4276807077,33992.4723793487,1464.53984426193,1658.31385794865,1402.80669925207,1588.41254941035,95520.6590910348,100362.841416046,7528.71330982439,7975.26982749621,1690.38220854949,1790.64518331295
"25",Tigray,North Western,Laelay Adiyabo,"01","0101","010102",ET01,Laelay Adiyabo,ET010102,ET0101,,172586.703125,228873.52884494,321789.319563207,67951.5249029065,3314.94926214319,3175.21739531278,195221.47334067,16299.1223389033,3659.55579430829,22605.9888854568,25597.0188356304,1102.8281073747,1248.74385668654,1056.34180129006,1196.10675835128,71928.9871786577,75575.2483507094,5669.27330995536,6005.53939458895,1272.89197292818,1348.39201967076
"26",Tigray,Central,Laelay Maychew,"01","0102","010205",ET01,Laelay Maychew,ET010205,ET0102,,178945.34375,237305.954357157,333645.057015842,70455.0742433524,3437.08248948001,3292.20245822588,202414.05057159,16899.6336157248,3794.38541745886,23438.8650960375,26540.0940604306,1143.45978686663,1294.75153441358,1095.2607780707,1240.17511870452,74579.0788236557,78359.6798028777,5878.14728999078,6226.80248194171,1319.78934372062,1398.07105125
"27",Tigray,North Western,Medebay Zana,"01","0101","010103",ET01,Medebay Zana,ET010103,ET0101,Medebay Zana,190336.65625,252412.389805791,354884.252341636,74940.1072210083,3655.88047497353,3501.7776627493,215299.335296702,17975.4314186627,4035.92861232456,24930.9376549487,28229.584822728,1216.25021264926,1377.17289855348,1164.98294870972,1319.12225438202,79326.6379109114,83347.9045944743,6252.33871234408,6623.18861561317,1403.80456609765,1487.06953485538
"28",Tigray,Central,Mereb Leke,"01","0102","010201",ET01,Mereb Leke,ET010201,ET0102,,162938.203125,216078.300689611,303799.612398126,64152.6790118019,3129.62624839617,2997.70612425914,184307.571218308,15387.9160927709,3454.96747178955,21342.195790091,24166.0115114062,1041.17424412025,1178.93253934239,997.286765848742,1129.23813029948,67907.7803288425,71350.1964173419,5352.33125972402,5669.79831025568,1201.73064949817,1273.00984847087
"29",Tigray,Central,Naeder Adet,"01","0102","010207",ET01,Naeder Adet,ET010207,ET0102,Naeder Adet,159624.453125,211683.815816344,297621.098419965,62847.97614901,3065.97758416813,2936.74038093594,180559.22244306,15074.9648881151,3384.70219182411,20908.1496306083,23674.5360985806,1019.99939939211,1154.95604010943,977.004481173024,1106.27228937015,66526.7082245179,69899.11429637,5243.47841016667,5554.48898567576,1177.2904944983,1247.12005525808
"30",Tigray,Southern,Ofla,"01","0104","010408",ET01,Ofla,ET010408,ET0104,Ofla,219450.25,291020.989531428,409166.786008595,86402.827435806,4215.07816733572,4037.404032807,248231.180932574,20724.9249640183,4653.25786638525,28744.3344277669,32547.5374465283,1402.2859205736,1587.8230858686,1343.17689706754,1520.8931070244,91460.3149187611,96096.6681909625,7208.68654804156,7636.26106567933,1618.5282911382,1714.52933775806
"31",Tigray,"Eastern
",Saesie Tsaedaemba,"01","0103","010303",ET01,Saesie Tsaedaemba,ET010303,ET0103,Saesie Tsaedaemba,211870.875,280969.70359063,395034.979329387,83418.6456898465,4069.49775407782,3897.96013064167,239657.769842905,20009.1272916567,4492.54359815801,27751.5623085579,31423.4102621948,1353.8537549723,1532.98283573694,1296.7862395303,1468.36448519301,88301.4576179041,92777.6804729267,6959.71285762625,7372.51980215977,1562.62754430995,1655.31290579059
"32",Tigray,Southern,Saharti Samre,"01","0104","010401",ET01,Saharti Samre,ET010401,ET0104,Saharti Samre,189869.125,251792.37954373,354012.536502073,74756.0289530884,3646.9003951403,3493.17611158126,214770.487257976,17931.2776750485,4026.0150056331,24869.6988338244,28160.2434076838,1213.26269046916,1373.79009579014,1162.12135628202,1315.88204364886,79131.784838931,83143.173930462,6236.98085227026,6606.91982265731,1400.35634694495,1483.41678875714
"33",Tigray,North Western,Tahtay Adiyabo,"01","0101","010101",ET01,Tahtay Adiyabo,ET010101,ET0101,Tahtay Adiyabo,162496.75,215492.87358133,302976.519435918,63978.8683272373,3121.14706266232,2989.58435348344,183808.221454317,15346.2251724336,3445.60682979189,21284.3727697974,24100.5378465695,1038.35336101904,1175.73842375946,994.584788345239,1126.17865319756,67723.7958410856,71156.8852934083,5337.83003585311,5654.43696384227,1198.47476634459,1269.56084654876
"34",Tigray,North Western,Tahtay Koraro,"01","0101","010104",ET01,Tahtay Koraro,ET010104,ET0101,Tahtay Koraro,177803.71875,235792.003759361,331516.487865991,70005.5890963936,3415.15479236969,3271.19905823452,201122.701293418,16791.8183251883,3770.17822010222,23289.3312003546,26370.7751262421,1136.16480923924,1286.49135457598,1088.27329765035,1232.26312228024,74103.2835943537,77859.765317369,5840.64623095617,6187.07709297949,1311.36942913692,1389.15171962373
"35",Tigray,Central,Tahtay Maychew,"01","0102","010206",ET01,Tahtay Maychew,ET010206,ET0102,,151234.78125,200557.965602428,281978.486589901,59544.7610865589,2904.83343987382,2782.38879071422,171069.24393008,14282.6426187984,3206.80626029187,19809.2420918189,22430.2305691239,966.389441105235,1094.25292090138,925.654284777817,1048.1279303417,63030.1433686904,66225.2997784876,4967.88740588303,5262.55163453177,1115.41350286556,1181.57290475881
"36",Tigray,Central,Tanqua Abergele,"01","0102","010210",ET01,Tanqua Abergele,ET010210,ET0102,Tanqua Abergele,143104.65625,189776.309976543,266819.802031108,56343.7358546144,2748.67452738586,2632.81229461898,161872.851901001,13514.8320076322,3034.41380181462,18744.3308787328,21224.4194666875,914.43798595764,1035.42774222878,875.892682454415,991.782352828129,59641.7499044364,62665.1401319342,4700.82221583929,4979.64579598018,1055.45076724329,1118.05355204839
"37",Tigray,Western,Tsegede,"01","0105","010503",ET01,Tsegede,ET010503,ET0105,,158209.109375,209806.876789607,294982.178421993,62290.7213644126,3038.79244977024,2910.70115535265,178958.256162602,14941.2995447535,3354.69101872986,20722.763129202,23464.6208503508,1010.9553604202,1144.71537972883,968.341665676532,1096.4632936937,65936.8351890883,69279.3391139772,5196.98600721211,5505.23894211155,1166.85180098549,1236.06220327391
"38",Tigray,North Western,Tselemti,"01","0101","010106",ET01,Tselemti,ET010106,ET0101,Tselemti,210923.421875,279713.251406264,393268.445228605,83045.6106677269,4051.29960218799,3880.52906793944,238586.058108254,19919.6496313554,4472.45365199966,27627.4617004263,31282.8897293416,1347.79953458481,1526.12757836242,1290.98721606802,1461.79819088694,87906.5874312296,92362.7933238822,6928.59011979803,7339.55105680635,1555.6397204759,1647.91060764345
"39",Tigray,Western,Welkait,"01","0105","010502",ET01,Welkait,ET010502,ET0105,,210968.125,279772.533852616,393351.794570794,83063.2113603451,4052.15823491317,3881.35150754547,238636.62405434,19923.8714033118,4473.40154414405,27633.3170666196,31289.5198272108,1348.08518731381,1526.45102594968,1291.2608279902,1462.10800449925,87925.218359608,92382.3687008536,6930.0585656797,7341.10660177817,1555.96942286865,1648.25986593458
"40",Tigray,Central,Werei Leke,"01","0102","010203",ET01,Werei Leke,ET010203,ET0102,,222892.65625,295586.090155575,415585.18061716,87758.1853503342,4281.19798915172,4100.73676938993,252125.059242976,21050.0264903411,4726.25119385745,29195.2324171118,33058.0943783524,1424.28287804925,1612.73047200595,1364.24664087198,1544.75059607808,92895.0071084638,97604.0885342282,7321.7656064034,7756.04727152382,1643.91733446449,1741.42430145989
"41",Tigray,Southern,Endamehoni,"01","0104","010405",ET01,Endamehoni,ET010405,ET0104,Endamehoni,163858.6875,217298.988629865,305515.863043955,64515.09579014,3147.3063995577,3014.64102101939,185348.77724763,15474.8468189944,3474.4855683005,21462.7639403234,24302.5322019238,1047.05613433988,1185.59266545665,1002.9207231881,1135.61751852557,68291.4107453733,71753.2740240401,5382.5681053496,5701.82861778269,1208.5195686381,1280.20144413269
"42",Tigray,Southern,Raya Azebo,"01","0104","010406",ET01,Raya Azebo,ET010406,ET0104,Raya Azebo,206373.5625,273679.516755511,384785.195210618,81254.2218931172,3963.9084376028,3796.82161903323,233439.484040859,19489.960013122,4375.97771302185,27031.5057629219,30608.0820297184,1318.72595757976,1493.20726155676,1263.13914573132,1430.26553252192,86010.3418298982,90370.4222663194,6779.13250891792,7181.22854863136,1522.08279302132,1612.36329165219
"43",Somali,Siti,Ayisha,"05","0501","050101",ET05,Ayisha,ET050101,ET0501,,89147.6171875,118221.910288438,166216.461384455,35099.5552940353,1712.29777535926,1640.12093468997,100839.339630637,8419.11857895793,1890.3001976404,11676.8557879339,13221.8368795612,569.652795723481,645.023847639677,545.640844951742,617.834777987807,37154.0663190218,39037.4993370121,2928.39597498517,3102.09023788759,657.497271046749,696.495925883855
"44",Somali,Siti,Erer,"05","0501","050104",ET05,Erer,ET050104,ET0501,Erer,121101.75,160597.4525843,225795.203366213,47680.6638744961,2326.05495984237,2228.00700309061,136984.261423723,11436.8731945455,2567.86069198153,15862.3159544718,17961.0811241505,773.8395330232,876.226636283567,741.220722211294,839.291897929449,50471.5952349705,53030.1272707363,3978.05222900996,4214.00558217925,893.171042098816,946.148401420559
"45",Somali,Siti,Afdem,"05","0501","050106",ET05,Afdem,ET050106,ET0501,Afdem,175468.28125,232694.894814447,327162.045545697,69086.0713318906,3370.29700971769,3228.23212253557,198480.970839161,16571.2591463054,3720.6572333714,22983.4277140968,26024.3971226387,1121.24137613935,1269.59339443193,1073.97891569114,1216.07744559208,73129.9429432354,76837.083581904,5763.92981395486,6105.81033455667,1294.14469749075,1370.90532386774
"46",Somali,Siti,Shinile,"05","0501","050103",ET05,Shinile,ET050103,ET0501,Shinile,160273.796875,212544.934273357,298831.805152822,63103.6383593642,3078.44981723107,2948.6868839585,181293.72771655,15136.2890401477,3398.47097956838,20993.2028666314,23770.8428470067,1024.14870247214,1159.65433959606,980.978883222032,1110.7725459589,66797.3353204795,70183.4601601164,5264.80860029259,5577.08435021222,1182.07964935253,1252.19327303598
"47",Dire Dawa,Dire Dawa,Dire Dawa/Town,"15","1501","150101",ET15,Dire Dawa/Town,ET150101,ET1501,,26243.61328125,34802.613831561,48931.4316094037,10332.7400612753,504.07270610901,482.825014312565,29685.4668278687,2478.45202290095,556.473733538007,3437.477044338,3892.29443121478,167.696548120931,189.88456392543,160.627819084051,181.880542596179,10937.5548002762,11492.0069474526,862.072301273531,913.205076423263,193.556537563267,205.037109319676
"48",Somali,Fafan,Aw-bare,"05","0502","050205",ET05,Aw-bare,ET050205,ET0502,,521429.4375,691486.616543231,972209.450990119,205299.27720867,10015.3261972242,9593.15978809221,589814.981043007,49243.8990897379,11056.4723977836,68298.5876388037,77335.2691225161,3331.93130916399,3772.78083991237,3191.48405572982,3613.75043907838,217316.227990911,228332.533867871,17128.3531090037,18144.3006425389,3845.73859645194,4073.84392665049
"49",Somali,Siti,Dembel,"05","0501","050102",ET05,Dembel,ET050102,ET0501,Dembel,128107.3671875,169887.857339749,238857.23391125,50438.943406795,2460.61495262317,2356.8950179601,144908.666283661,12098.4850657444,2716.4089086576,16779.9353388672,19000.1120104047,818.605389279731,926.915485811287,784.099612328526,887.844109152359,53391.3274028264,56097.8680016768,4208.17863980357,4457.78166249795,944.840108845619,1000.88215632433
"50",Somali,Siti,Miesso,"05","0501","050107",ET05,Miesso,ET050107,ET0501,Miesso,178314.3125,236469.120775057,332468.494089012,70206.622103515,3424.96199271693,3280.59286510135,201700.259485032,16840.0388998099,3781.00493086566,23356.2104930723,26446.503311551,1139.42750056339,1290.18573425315,1091.39846031837,1235.80177632536,74316.0838311753,78083.3529331231,5857.41864428056,6204.84434169989,1315.13525045475,1393.14090607511
