ccode,name,year,spending_threshold_group,headcount_sum2
KEN,Eldoret,2022,below 12,390517
KEN,Eldoret,2022,over 12,39473
KEN,Eldoret,2022,over 40,3248
KEN,Eldoret,2022,over 80,815
KEN,Eldoret,2030,below 12,525558
KEN,Eldoret,2030,over 12,65300
KEN,Eldoret,2030,over 40,5516
KEN,Eldoret,2030,over 80,1373
KEN,Kisumu,2022,below 12,338024
KEN,Kisumu,2022,over 12,43889
KEN,Kisumu,2022,over 40,3729
KEN,Kisumu,2022,over 80,942
KEN,Kisumu,2030,below 12,439614
KEN,Kisumu,2030,over 12,72897
KEN,Kisumu,2030,over 40,6467
KEN,Kisumu,2030,over 80,1609
KEN,Mombasa,2022,below 12,925548
KEN,Mombasa,2022,over 12,473423
KEN,Mombasa,2022,over 40,69111
KEN,Mombasa,2022,over 80,16795
KEN,Mombasa,2030,below 12,1173320
KEN,Mombasa,2030,over 12,715368
KEN,Mombasa,2030,over 40,118433
KEN,Mombasa,2030,over 80,29027
KEN,Nairobi,2022,below 12,3709161
KEN,Nairobi,2022,over 12,1438563
KEN,Nairobi,2022,over 40,176792
KEN,Nairobi,2022,over 80,42735
KEN,Nairobi,2030,below 12,4815622
KEN,Nairobi,2030,over 12,2215269
KEN,Nairobi,2030,over 40,301537
KEN,Nairobi,2030,over 80,73243
KEN,Nakuru,2022,below 12,286902
KEN,Nakuru,2022,over 12,124507
KEN,Nakuru,2022,over 40,16344
KEN,Nakuru,2022,over 80,3959
KEN,Nakuru,2030,below 12,359650
KEN,Nakuru,2030,over 12,190183
KEN,Nakuru,2030,over 40,28413
KEN,Nakuru,2030,over 80,6890
KEN,Ruiru,2022,below 12,290831
KEN,Ruiru,2022,over 12,136463
KEN,Ruiru,2022,over 40,18810
KEN,Ruiru,2022,over 80,4565
KEN,Ruiru,2030,below 12,385385
KEN,Ruiru,2030,over 12,207876
KEN,Ruiru,2030,over 40,31496
KEN,Ruiru,2030,over 80,7655
NGA,Aba,2022,below 12,1106914
NGA,Aba,2022,over 12,51880
NGA,Aba,2022,over 40,3470
NGA,Aba,2022,over 80,816
NGA,Aba,2030,below 12,1463914
NGA,Aba,2030,over 12,63340
NGA,Aba,2030,over 40,4260
NGA,Aba,2030,over 80,991
NGA,Abakaliki,2022,below 12,616717
NGA,Abakaliki,2022,over 12,15726
NGA,Abakaliki,2022,over 40,1092
NGA,Abakaliki,2022,over 80,254
NGA,Abakaliki,2030,below 12,858762
NGA,Abakaliki,2030,over 12,18060
NGA,Abakaliki,2030,over 40,1240
NGA,Abakaliki,2030,over 80,290
NGA,Abeokuta,2022,below 12,529595
NGA,Abeokuta,2022,over 12,33151
NGA,Abeokuta,2022,over 40,2195
NGA,Abeokuta,2022,over 80,511
NGA,Abeokuta,2030,below 12,682110
NGA,Abeokuta,2030,over 12,41619
NGA,Abeokuta,2030,over 40,2766
NGA,Abeokuta,2030,over 80,632
NGA,Abuja,2022,below 12,2198691
NGA,Abuja,2022,over 12,1451931
NGA,Abuja,2022,over 40,215985
NGA,Abuja,2022,over 80,47416
NGA,Abuja,2030,below 12,3259560
NGA,Abuja,2030,over 12,1859780
NGA,Abuja,2030,over 40,246754
NGA,Abuja,2030,over 80,53837
NGA,Ado-Ekiti,2022,below 12,504107
NGA,Ado-Ekiti,2022,over 12,14877
NGA,Ado-Ekiti,2022,over 40,1023
NGA,Ado-Ekiti,2022,over 80,227
NGA,Ado-Ekiti,2030,below 12,677262
NGA,Ado-Ekiti,2030,over 12,17786
NGA,Ado-Ekiti,2030,over 40,1235
NGA,Ado-Ekiti,2030,over 80,279
NGA,Akure,2022,below 12,690242
NGA,Akure,2022,over 12,30297
NGA,Akure,2022,over 40,2028
NGA,Akure,2022,over 80,471
NGA,Akure,2030,below 12,929769
NGA,Akure,2030,over 12,36249
NGA,Akure,2030,over 40,2421
NGA,Akure,2030,over 80,576
NGA,Bauchi,2022,below 12,582835
NGA,Bauchi,2022,over 12,65295
NGA,Bauchi,2022,over 40,4501
NGA,Bauchi,2022,over 80,1023
NGA,Bauchi,2030,below 12,792346
NGA,Bauchi,2030,over 12,78879
NGA,Bauchi,2030,over 40,5355
NGA,Bauchi,2030,over 80,1232
NGA,Benin City,2022,below 12,1644476
NGA,Benin City,2022,over 12,209687
NGA,Benin City,2022,over 40,14687
NGA,Benin City,2022,over 80,3407
NGA,Benin City,2030,below 12,2193552
NGA,Benin City,2030,over 12,257862
NGA,Benin City,2030,over 40,17825
NGA,Benin City,2030,over 80,4155
NGA,Birnin Kebbi,2022,below 12,367542
NGA,Birnin Kebbi,2022,over 12,30479
NGA,Birnin Kebbi,2022,over 40,2050
NGA,Birnin Kebbi,2022,over 80,481
NGA,Birnin Kebbi,2030,below 12,500407
NGA,Birnin Kebbi,2030,over 12,36480
NGA,Birnin Kebbi,2030,over 40,2442
NGA,Birnin Kebbi,2030,over 80,588
NGA,Calabar,2022,below 12,565142
NGA,Calabar,2022,over 12,67583
NGA,Calabar,2022,over 40,4684
NGA,Calabar,2022,over 80,1093
NGA,Calabar,2030,below 12,779567
NGA,Calabar,2030,over 12,80935
NGA,Calabar,2030,over 40,5528
NGA,Calabar,2030,over 80,1272
NGA,Effon Alaiye,2022,below 12,410866
NGA,Effon Alaiye,2022,over 12,1973
NGA,Effon Alaiye,2022,over 40,147
NGA,Effon Alaiye,2022,over 80,36
NGA,Effon Alaiye,2030,below 12,545785
NGA,Effon Alaiye,2030,over 12,2388
NGA,Effon Alaiye,2030,over 40,182
NGA,Effon Alaiye,2030,over 80,47
NGA,Enugu,2022,below 12,587004
NGA,Enugu,2022,over 12,239382
