country,provpcode,province,ctypcode,county,scpcode,subcounty,dhis2_id,pop_f0,pop_f1,pop_f5,pop_f10,pop_f15,pop_f20,pop_f25,pop_f30,pop_f35,pop_f40,pop_f45,pop_f50,pop_f55,pop_f60,pop_f65,pop_f70,pop_f75,pop_f80,pop_m0,pop_m1,pop_m5,pop_m10,pop_m15,pop_m20,pop_m25,pop_m30,pop_m35,pop_m40,pop_m45,pop_m50,pop_m55,pop_m60,pop_m65,pop_m70,pop_m75,pop_m80,pop_f02022,pop_f12022,pop_f52022,pop_f102022,pop_f152022,pop_f202022,pop_f252022,pop_f302022,pop_f352022,pop_f402022,pop_f452022,pop_f502022,pop_f552022,pop_f602022,pop_f652022,pop_f702022,pop_f752022,pop_f802022,pop_m02022,pop_m12022,pop_m52022,pop_m102022,pop_m152022,pop_m202022,pop_m252022,pop_m302022,pop_m352022,pop_m402022,pop_m452022,pop_m502022,pop_m552022,pop_m602022,pop_m652022,pop_m702022,pop_m752022,pop_m802022,pop_f02030,pop_f12030,pop_f52030,pop_f102030,pop_f152030,pop_f202030,pop_f252030,pop_f302030,pop_f352030,pop_f402030,pop_f452030,pop_f502030,pop_f552030,pop_f602030,pop_f652030,pop_f702030,pop_f752030,pop_f802030,pop_m02030,pop_m12030,pop_m52030,pop_m102030,pop_m152030,pop_m202030,pop_m252030,pop_m302030,pop_m352030,pop_m402030,pop_m452030,pop_m502030,pop_m552030,pop_m602030,pop_m652030,pop_m702030,pop_m752030,pop_m802030,Totpop_2020,Totpop_2022,Totpop_2030,cons_class12,cons_class40,cons_class80,cons_class12_2030,cons_class40_2030,cons_class80_2030,pop2020_f,pop2020_m,pop2022_f,pop2022_m,pop2030_f,pop2030_m,Females_2022_12USD,Males_2022_12USD,Females_2022_40USD,Males_2022_40USD,Females_2022_80USD,Males_2022_80USD,Females_2030_12USD,Males_2030_12USD,Females_2030_40USD,Males_2030_40USD,Females_2030_80USD,Males_2030_80USD
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_113,Juja Sub County,aiqi2bz0IMI,3850.991067,14547.09139,14911.04794,13526.43876,15174.0725,22610.93141,20121.0355,16577.45266,12304.61163,8321.976156,5347.279512,2974.944216,2120.963959,1299.666759,858.1518424,404.5171258,284.2626468,314.6161457,3702.259316,13965.68938,14018.50463,12150.69993,10735.7831,19260.23229,20367.96185,18717.8676,15584.75093,11360.95935,7359.278815,3928.183777,2238.730573,1124.793489,641.7569934,312.8631644,168.6037432,143.0564803,3862.929139,14592.18738,15321.10176,14033.68021,15950.98501,21374.11346,20714.60605,18606.53287,13052.73202,8779.684845,6163.809094,3353.35712,2351.512741,1561.939511,945.3400696,389.4690887,319.1132473,314.7419921,3728.545357,14064.84577,14308.68767,12634.29779,11121.19771,17998.68708,20889.38167,21149.3186,17171.27857,11938.09609,8543.386776,4365.78345,2419.843876,1278.44028,673.2030861,284.3613302,161.7247105,140.95355,3901.172138,14736.65003,16058.04676,15818.76433,18723.26621,22023.88651,18672.14589,23252.58413,18521.82673,10916.66014,8412.983032,5423.049134,3560.660593,2490.356356,1617.382325,460.1966752,336.7282985,377.1868034,3789.693501,14295.50924,15008.3825,14054.39286,12870.56211,17561.31898,18161.22842,26423.95866,25942.36766,16100.91019,11656.59692,7059.471838,3464.974446,1826.763316,978.7699669,277.707275,121.261188,136.8377064,311332.0266,324559.869,375034.2529,113350.7492,24704.58846,5035.334105,151709.0484,42970.82464,8639.13491,155550.0512,155781.9754,113877.9371,118135.6568,134788.9128,142582.7287,51880.63789,58216.94477,8607.078619,9923.833183,1754.310402,2022.54265,70013.72582,77948.10905,15362.06981,17544.9877,3088.49073,3527.358784
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_120,Kikuyu Sub County,jOVcLeZQSsS,2212.581957,8357.980629,9158.52207,8853.274842,9425.339286,11084.73187,10563.17581,9784.855464,7958.720603,6363.603316,4216.008934,2799.178591,2319.777158,1847.425436,1433.635414,795.8969395,483.9526376,465.699968,2209.03988,8332.954021,8779.596454,8166.664091,7845.578279,9946.99929,10507.81337,10059.71506,8910.751121,7129.593873,4931.173452,2831.991127,2038.992702,1481.483443,1099.938981,576.4080642,305.9395152,256.7723733,2219.440961,8383.890369,9410.381427,9185.272648,9907.916657,10478.39704,10874.78949,10982.52177,8442.610816,6713.601498,4859.793498,3155.234108,2571.936936,2220.235889,1579.292772,766.2895733,543.285231,465.886248,2224.724063,8392.117994,8961.334101,8491.697321,8127.23454,9295.470836,10776.81339,11366.47205,9817.865585,7491.777242,5724.59926,3147.474939,2203.947211,1683.854081,1153.835991,523.8972895,293.457183,252.9978194,2241.413426,8466.890884,9863.020774,10353.63933,11629.91257,10796.94031,9802.535251,13724.85746,11980.06475,8347.692103,6633.132146,5102.6446,3894.426908,3539.944102,2702.012003,905.4477598,573.2745757,558.3180796,2261.209537,8529.748729,9399.543338,9446.1641,9405.648533,9069.590895,9369.361564,14201.27017,14832.83133,10104.15997,7810.64323,5089.466976,3155.832012,2406.059096,1677.562147,511.638093,220.0341958,245.6102831,193535.766,202690.3478,238852.5412,70788.48918,15428.22174,3144.608187,96620.75251,27367.34201,5502.108971,98124.36092,95411.4051,73561.79153,71859.69742,90191.20261,88099.70849,32399.8915,36356.96804,5375.192456,6197.516674,1095.581492,1263.094771,44590.47728,49643.74264,9783.824768,11174.08574,1967.003957,2246.511093
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_122,Lari Sub County,nCziQtZ49jj,1641.902163,6202.285108,8082.930371,8156.586061,7180.482586,5294.980407,5229.481846,5513.635065,5166.294283,4456.251823,3285.416695,2212.475375,2189.161136,1724.468923,1447.508621,877.6408791,468.4969984,471.5837539,1781.262735,6719.263995,8566.216682,8388.949832,7586.345644,6095.288758,5143.613071,5408.480664,5271.012732,4555.06545,3320.798879,2014.950732,1701.486589,1411.380938,1166.702295,616.4848021,338.4651815,290.2385105,1646.99206,6221.512192,8305.210956,8462.458038,7548.123294,5005.344979,5383.751561,6188.503997,5480.404976,4701.345674,3787.099824,2493.902242,2427.122952,2072.466752,1594.575496,844.9926384,525.9347304,471.7723874,1793.909701,6766.97077,8743.537367,8722.830036,7858.695453,5696.047345,5275.289566,6111.042302,5807.601828,4786.462774,3855.115419,2239.416244,1839.136854,1604.175574,1223.870707,560.3230366,324.6558021,285.9720044,1663.297281,6283.105163,8704.691603,9538.882701,8859.987123,5157.507466,4852.913657,7733.773445,7776.69466,5845.653211,5169.01255,4033.138706,3675.149574,3304.340989,2728.159217,998.4433015,554.9663275,565.3720291,1823.32982,6877.94909,9171.096344,9703.276132,9094.868248,5557.633394,4586.336749,7635.136252,8774.124842,6455.502344,5259.919477,3621.136067,2633.460061,2292.206478,1779.385621,547.2114775,243.4269204,277.6216218,139977.5896,146656.5675,173778.7099,51218.9996,11163.08728,2275.280732,70297.05289,19911.28654,4003.094939,69601.58209,70376.00749,48525.3415,47467.80491,61255.11226,58757.96955,23442.93612,26306.07819,3889.219609,4484.212161,792.707807,913.9120116,32442.08991,36118.62578,7118.284938,8129.778294,1431.106441,1634.463664
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_112,Gatundu North Sub County,HEsM6W2ImQR,1217.170035,4597.827019,6323.871805,6464.210085,5211.456977,3933.854772,4010.628929,4399.12638,4211.783384,3780.383622,2958.593165,2374.472559,1977.219483,1691.223141,1608.008168,933.031588,551.7969201,547.1918143,1312.401776,4950.641403,6746.212457,6955.284783,6055.37028,4607.220618,3869.448147,4248.119569,4086.938401,3574.05284,2892.34979,1955.366793,1727.739961,1342.076682,1117.151465,698.3505625,399.331944,332.2973446,1220.943262,4612.080283,6497.778279,6706.617963,5478.283575,3718.672916,4128.942482,4937.579449,4467.859814,3988.304721,3410.370341,2676.505469,2192.143241,2032.511971,1771.381798,898.3228129,619.4472225,547.410691,1321.719829,4985.790957,6885.859055,7232.105117,6272.758073,4305.447668,3968.50602,4799.950302,4502.98873,3755.614724,3357.728871,2173.194653,1867.514124,1525.404357,1171.891887,634.7308263,383.0392007,327.4125736,1233.030601,4657.739877,6810.321415,7559.699768,6430.40926,3831.720572,3721.828754,6170.493038,6339.893076,4959.05809,4654.814479,4328.444644,3319.343296,3240.637086,3030.657118,1061.458236,653.6407092,656.0169721,1343.396034,5067.557928,7222.577563,8044.993733,7259.462918,4200.82529,3450.219134,5997.057907,6803.115373,5065.197578,4581.285271,3514.055754,2674.093474,2179.650285,1703.813614,619.878125,287.2027927,317.8521265,113662.2047,119376.8133,142991.4419,41691.69546,9086.62877,1852.053185,57842.97143,16383.73063,3293.892086,56791.84985,56870.35482,40867.7365,39046.18201,52398.41533,48653.70964,19082.28901,21412.85479,3165.781463,3650.098777,645.2553297,743.9142029,26694.53131,29719.71872,5857.183699,6689.477214,1177.566421,1344.896139
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_111,Gatundu South Sub County,EcRytSSIkUq,1349.793507,5098.809031,7007.294953,7161.837754,5777.650755,4371.923982,4455.143917,4881.32135,4669.858193,4188.33797,3276.94681,2628.114834,2188.803832,1871.584877,1779.104963,1032.117391,610.5126221,605.4443027,1462.448904,5516.649466,7511.132518,7741.349666,6739.930968,5141.091487,4322.623864,4741.244898,4559.196747,3984.345927,3221.9625,2176.846188,1921.904548,1492.394075,1242.167545,776.2981921,443.9020035,369.41801,1353.977867,5114.615339,7199.995564,7430.40667,6073.466474,4132.77974,4586.570663,5478.795083,4953.785571,4418.696558,3777.336588,2962.411041,2426.726808,2249.270705,1959.862028,993.7226244,685.3614696,605.6864805,1472.832291,5555.817677,7666.612961,8049.455383,6981.89449,4804.349995,4433.283035,5357.13261,5023.322976,4186.7507,3740.376267,2419.346854,2077.386626,1696.255106,1303.033754,705.5774268,425.7908017,363.9875653,1367.382248,5165.250031,7546.315351,8375.554398,7129.034947,4258.416244,4134.334795,6846.850216,7029.421725,5494.207301,5155.686709,4790.811136,3674.549733,3586.237212,3353.127943,1174.182653,723.1934227,725.8546782,1496.986741,5646.933087,8041.510335,8954.214168,8080.146493,4687.60429,3854.29627,6693.201483,7589.236352,5646.670669,5103.369378,3912.083862,2974.60991,2423.778921,1894.480776,689.066915,319.2579431,353.3591284,126319.5086,132666.6738,158891.2175,46333.10615,10098.21574,2058.23668,64274.7568,18205.50147,3660.152781,62954.60104,63364.90751,45304.47183,43518.48821,58075.90871,54221.16239,21206.66269,23796.68332,3518.218365,4056.453264,717.0896593,826.7319272,29662.80026,33024.37004,6508.466776,7433.306251,1308.504619,1494.440381
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_115,Ruiru Sub County,TPRNJqSm4lK,4808.965785,18165.83244,18561.0449,16819.48426,19070.52457,28431.53064,25211.05774,20634.0595,15274.78018,10301.86205,6611.41971,3696.127114,2616.781677,1608.599837,1058.449594,504.4889483,347.5857199,385.6177475,4495.098469,16956.4426,16956.78097,14668.08223,13116.80966,23623.87216,24943.35193,22829.50725,18945.30572,13817.98543,8943.45856,4795.924522,2724.705302,1375.93545,783.5408589,382.1186817,203.2146093,173.438484,4823.873579,18222.14652,19071.47363,17450.21492,20046.93543,26876.32591,25954.78394,23159.66838,16203.48682,10868.46446,7620.9835,4166.274483,2901.225845,1933.215284,1165.988073,485.7219594,390.1997292,385.7719946,4527.013668,17076.83334,17307.78634,15251.8719,13587.70313,22076.50853,25581.90174,25795.06025,20873.93784,14519.93909,10382.46104,5330.190514,2945.133961,1563.888233,821.934361,347.3076698,194.9234532,170.8889383,4871.629928,18402.54577,19988.81152,19669.88226,23531.09281,27693.36622,23395.64224,28942.63757,22992.7478,13513.84871,10401.88038,6737.699094,4393.036174,3082.31845,1994.888994,573.9290672,411.7387542,462.3091583,4601.256692,17356.89341,18154.13709,16966.18231,15725.04883,21540.04938,22240.90537,32228.34827,31536.34529,19583.04185,14165.82985,8618.918061,4217.137319,2234.639896,1195.010367,339.1806703,146.1536052,165.8989813,383843.7853,400082.0385,462074.9821,139726.4515,30453.12454,6207.011173,186918.8088,52943.81213,10644.16938,194108.2124,189735.5729,142159.0458,144191.7787,168127.1354,173936.5077,63952.79684,71763.50548,10609.86859,12233.02013,2162.522693,2493.170178,86263.03027,96038.88397,18927.41284,21616.95849,3805.290552,4346.014356
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_118,Kiambaa Sub County,oMaQgNIs85x,2855.574569,10786.91294,11218.059,11017.86388,11684.41755,14189.17011,13834.74974,12632.14247,9970.76407,7579.719813,5151.088045,3389.147833,2776.978027,2131.882394,1709.627244,1025.779546,575.9827372,581.7477606,2746.215071,10359.31175,10762.88871,9836.176593,9373.144142,12952.8054,14060.22051,13585.00287,11993.62129,9295.573022,6213.927381,3453.446294,2490.193379,1713.993556,1275.078187,659.9728268,349.3876357,299.6376044,2864.42685,10820.35237,11526.55562,11431.03377,12282.65973,13413.0225,14242.87486,14178.31671,10576.98653,7996.604403,5937.659189,3820.247437,3078.835539,2562.096261,1883.325372,987.6205471,646.5982208,581.9804597,2765.713198,10432.86286,10985.68051,10227.65642,9709.640017,12104.39665,14420.16216,15349.69474,13214.57193,9767.788131,7213.748297,3838.160211,2691.650024,1948.125075,1337.557019,599.8493023,335.1326201,295.2329317,2892.784676,10927.47386,12080.98294,12885.06127,14417.386,13820.77838,12838.5274,17718.64239,15008.74388,9942.977915,8104.311028,6178.104155,4661.972773,4085.006278,3222.181378,1166.972439,682.2904425,697.4453829,2811.070894,10603.96181,11522.88028,11377.245,11236.96639,11810.25981,12536.88898,19177.90861,19964.57528,13173.81585,9842.438176,6206.305061,3854.173669,2783.67592,1944.674149,585.8128286,251.2824386,286.6121301,244532.2039,256068.8185,301302.1899,89430.62647,19491.24147,3972.740249,121882.9164,34522.72283,6940.673411,123111.6077,121420.5962,92188.82775,92825.70911,112545.3398,113655.3893,40932.39773,45931.56975,6790.748528,7829.631698,1384.102703,1595.730576,56248.96593,62623.44245,12341.87341,14095.62773,2481.290744,2833.876954
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_117,Kiambu Town Sub County,SBz4c48i24Y,1825.974295,6897.605093,7144.461566,6984.483469,7455.558927,9115.70439,8828.935175,7957.429046,6220.274691,4693.231197,3173.383677,2074.149235,1696.454659,1302.454806,1046.702558,628.5159597,352.1885956,359.6224191,1670.005032,6299.616809,6510.12549,5920.457027,5653.823426,7897.437427,8573.308123,8236.357579,7192.257755,5539.785496,3672.903266,2021.950342,1444.609546,990.5663494,732.3249224,380.0351674,200.1881461,175.3072348,1831.634815,6918.987669,7340.934259,7246.401599,7837.283544,8617.07536,9089.388762,8931.418361,6598.467392,4951.358913,3657.959364,2337.981017,1880.85928,1565.290186,1153.047537,605.135166,395.3669174,359.7662681,1681.862067,6344.344088,6644.885088,6156.091217,5856.795687,7380.155275,8792.784811,9306.260429,7924.429594,5821.206599,4263.873402,2247.19561,1561.478458,1125.877713,768.2088436,345.4139637,192.0204697,172.7302185,1849.768,6987.485647,7694.033197,8168.143882,9199.403423,8879.03445,8193.17503,11161.59353,9363.225229,6156.519672,4992.748736,3780.982901,2847.997122,2495.698672,1972.749032,715.0277121,417.1911713,431.1438957,1709.444605,6448.391331,6969.819968,6848.035869,6778.069648,7200.817502,7644.447114,11627.24178,11972.22823,7851.06134,5817.628869,3633.715302,2235.881005,1608.766664,1116.898838,337.3312769,143.9769482,167.6864961,150868.1889,157903.9699,185417.3641,55147.09303,12019.20806,2449.776824,75005.12724,21244.82491,4271.198193,77757.12976,73111.05914,57980.39807,55758.43107,70606.49057,68135.75101,25240.82448,28323.54698,4187.492088,4828.115878,853.5022456,984.0018571,34614.86622,38537.63438,7595.024905,8674.26201,1526.953354,1743.930222
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_114,Thika Town Sub County,YZAZ1a9MIvX,3531.961103,13341.95036,13910.98622,12718.84128,14575.61389,20824.71501,17932.03678,15335.62986,11756.91116,8350.907458,5690.38498,3538.716298,2333.908761,1383.232272,969.3844299,520.2456027,253.8214168,299.7523334,3328.460521,12555.66751,12923.6355,11317.35822,10462.04348,18357.95243,18766.43504,17118.18967,14255.00965,10941.97138,7549.095201,4374.542214,2522.728226,1346.955011,818.4677092,354.2616397,189.06401,149.3192042,3542.910182,13383.31041,14293.53834,13195.79783,15321.88532,19685.6031,18461.03187,17212.71096,12471.73136,8810.207369,6559.306767,3988.841011,2587.604644,1662.368544,1067.873888,500.8924662,284.9399225,299.8722344,3352.09259,12644.81275,13191.15475,11767.78907,10837.63084,17155.50654,19246.85578,19341.84251,15706.16964,11497.82352,8763.744619,4861.866217,2726.81694,1530.949066,858.572627,321.9884043,181.3501984,147.1242119,3577.984993,13515.80518,14981.05753,14874.30331,17984.82899,20284.04543,16640.77413,21510.72489,17697.3868,10954.61184,8952.797806,6450.753683,3918.150951,2650.480407,1827.025435,591.8545381,300.6686062,359.3668857,3407.066909,12852.18768,13836.20222,13090.48856,12542.39017,16738.62774,16733.21642,24165.69803,23728.88109,15507.11458,11957.25316,7861.637673,3904.529176,2187.57312,1248.278742,314.4538757,135.9763788,142.8281849,294600.1558,307464.5165,357427.0251,107380.2913,23403.33809,4770.110891,144586.5636,40953.41665,8233.542048,147268.9992,147331.1566,108914.8695,113178.2411,130123.4704,137168.4583,49147.95934,55150.51763,8153.722992,9401.120912,1661.906635,1916.010442,66726.69908,74288.57635,14640.84645,16721.28002,2943.491282,3361.755218
Kenya,KEN_1_4,Central,KEN_2_22,Kiambu,KEN_3_119,Kabete Sub County,lb5LzWiUX8Y,2327.61254,8792.505563,9643.350367,9339.785597,9945.434599,11698.53428,11163.62387,10374.88803,8465.2087,6781.369486,4503.223814,2998.879988,2483.138237,1975.491898,1531.534836,851.5462029,516.90197,495.1665211,2362.369044,8911.343888,9403.138029,8760.634984,8423.920881,10678.13351,11267.6035,10800.94505,9602.853001,7703.73054,5346.658027,3085.070353,2225.50343,1617.281921,1202.470066,629.7779049,334.4443503,278.1564206,2334.828139,8819.762331,9908.542502,9690.027556,10454.64085,11058.62446,11492.95078,11644.77432,8979.893389,7154.344808,5190.86609,3380.337523,2753.055363,2374.146163,1687.138776,819.8686841,580.2741515,495.3645877,2379.141864,8974.614429,9597.782987,9109.308257,8726.339641,9978.715767,11556.05415,12203.98781,10580.42344,8095.080051,6206.935304,3428.747191,2405.546657,1838.202632,1261.3911,572.4051378,320.7990208,274.0675213,2357.942937,8907.077978,10385.1434,10922.59906,12271.65743,11394.80664,10359.74583,14552.47447,12742.46872,8895.712334,7085.013127,5466.681842,4168.676431,3785.338642,2886.525731,968.7568372,612.3052847,593.6449219,2418.159791,9121.798106,10067.11457,10133.1945,10098.99287,9736.232974,10046.83348,15247.66238,15984.90373,10917.83447,8468.742529,5544.284207,3444.502258,2626.607741,1833.93652,559.0108576,240.5351058,266.0647496,206522.2314,216328.9834,255112.9824,75551.70765,16466.3565,3356.202699,103198.4345,29230.43735,5876.677812,103888.1965,102634.0349,78066.27994,77448.69543,95783.80824,95016.14386,34580.01659,38803.35705,5736.878604,6614.535405,1169.30102,1348.085938,47626.07754,53023.35566,10449.88135,11934.78757,2100.912318,2399.447551
