quantile,resid,share
 10%,Rural,0.1379042925428944
 10%,Urban,0.031809501458441754
 20%,Rural,0.134488058122443
 20%,Urban,0.0382446485539934
 30%,Rural,0.13051841700864497
 30%,Urban,0.04544547079136228
 40%,Rural,0.12371108462759835
 40%,Urban,0.05754029957422424
 50%,Rural,0.11602084483915565
 50%,Urban,0.0711712541865391
 60%,Rural,0.10840173131232375
 60%,Urban,0.08487942699755222
 70%,Rural,0.0904777589038026
 70%,Urban,0.1171930921336642
 80%,Rural,0.07587940719654439
 80%,Urban,0.1430715066590475
 90%,Rural,0.05557199989747111
 90%,Urban,0.1797675761533965
100%,Rural,0.027026405549121797
100%,Urban,0.23087722349177883
