ET_ID,ADM0_EN,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,pop_2020
0,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Bumbuta,TZ0101011,10492.10546875
1,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Pahi,TZ0101021,17597.025390625
2,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Haubi,TZ0101041,16595.92578125
3,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kalamba,TZ0101051,18085.490234375
4,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kwadelo,TZ0101061,14560.3798828125
5,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Masange,TZ0101071,6711.98876953125
6,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kikilo,TZ0101081,11586.345703125
7,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Bereko,TZ0101091,9490.0595703125
8,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kisese,TZ0101101,16215.4267578125
9,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kikore,TZ0101111,16921.8125
10,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Serya,TZ0101121,7912.6787109375
11,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kilimani,TZ0101133,8861.2919921875
12,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Chemchem,TZ0101142,13406.7265625
13,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Hondo mairo,TZ0101151,10224.90234375
14,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Bolisa,TZ0101161,4570.2841796875
15,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kinyasi,TZ0101171,11281.05859375
16,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Salanka,TZ0101181,10898.8359375
17,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Itololo,TZ0101191,8901.1591796875
18,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Itaswi,TZ0101201,12147.2724609375
19,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Suruke,TZ0101211,4129.658203125
20,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kingale,TZ0101221,14003.5625
21,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kondoa mjini,TZ0101232,14845.78125
22,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kolo,TZ0101241,6603.46533203125
23,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Changaa,TZ0101251,11942.3916015625
24,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Thawi,TZ0101261,13562.10546875
25,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Mnenia,TZ0101271,14479.2958984375
26,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Soera,TZ0101281,9410.7138671875
27,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mazae,TZ0102011,9885.2734375
28,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Vingh'awe,TZ0102023,17307.650390625
29,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Matomondo,TZ0102031,21428.505859375
30,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Kimagai,TZ0102041,9244.939453125
31,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Kibakwe,TZ0102053,20706.8359375
32,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Lumuma,TZ0102061,4674.90625
33,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Luhundwa,TZ0102071,15363.3056640625
34,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Massa,TZ0102081,15741.4853515625
35,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Ipera,TZ0102091,15991.232421875
36,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Rudi,TZ0102101,12497.70703125
37,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mlunduzi,TZ0102111,12280.18359375
38,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Wotta,TZ0102121,16785.763671875
39,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mima,TZ0102131,17856.796875
40,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Berege,TZ0102141,13686.650390625
41,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Chunyu,TZ0102151,14546.0224609375
42,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mbuga,TZ0102161,7154.0732421875
43,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Godegode,TZ0102171,9808.296875
44,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mpwapwa,TZ0102183,25093.9453125
45,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Lupeta,TZ0102191,10478.2705078125
46,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Gulwe,TZ0102201,12979.802734375
47,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Nghambi,TZ0102211,10438.529296875
48,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Chitemo,TZ0102221,9709.1025390625
49,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Iwondo,TZ0102231,9652.6162109375
50,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Kingiti,TZ0102241,8803.630859375
51,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Lufu,TZ0102251,6110.31298828125
52,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Pwaga,TZ0102261,14042.3583984375
53,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Galigali,TZ0102271,5457.1083984375
54,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mtera,TZ0102281,13737.3525390625
55,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Chipogoro,TZ0102291,13299.1064453125
56,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Malolo,TZ0102301,6399.65478515625
57,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Kongwa,TZ0103013,17256.396484375
58,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Sejeli,TZ0103021,23703.158203125
59,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Hogoro,TZ0103031,21425.5859375
60,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Zoissa,TZ0103041,7510.9306640625
61,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Mkoka,TZ0103051,13760.736328125
62,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kongwa,TZ0103,Njoge,TZ0103061,12442.8095703125
