Shape_Leng,Shape_Area,ADM3_EN,ADM3_PCODE,ADM3_REF,ADM3ALT1EN,ADM3ALT2EN,ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,date,validOn,validTo,pop_2020
3.132891013,0.285815844,Agago,UG306601,,,,Agago,UG3066,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,273419.1563
2.659590063,0.112382613,Amuria,UG202701,,,,Amuria,UG2027,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,243585.125
0.747823472,0.016613893,Apac Municipality,UG307101,,,,Apac,UG3071,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,53096.03906
2.286294121,0.189448106,Aringa,UG309901,,,,Yumbe,UG3099,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,729469.75
0.14225295,0.000828812,Arua Municipality,UG307201,,,,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,81018.38281
3.457140341,0.268570372,Aruu,UG309701,,,,Pader,UG3097,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,221224.2031
2.174921584,0.147821395,Aswa,UG307401,,,,Gulu,UG3074,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,166038.9375
1.366205269,0.027456941,Ayivu,UG307202,,,,Arua,UG3072,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,276813.625
1.613628771,0.095871964,Bamunanika,UG101401,,,,Luwero,UG1014,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,225628.4688
1.82243538,0.101688436,Bbaale,UG101001,,,,Kayunga,UG1010,Central,UG1,Uganda,UG,2020-06-11,2020-08-24,,179015.8594
3.186270885,0.36404629,Bokora,UG309001,,,,Napak,UG3090,Northern,UG3,Uganda,UG,2020-06-11,2020-08-24,,176796.3125
0.836962584,0.019310678,Bubulo,UG205201,,,,Manafwa,UG2052,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,188355.3281
0.882804937,0.024348258,Bubulo,UG205601,,,,Namisindwa,UG2056,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,258224.2188
1.187717895,0.033003697,Budadiri,UG206101,,,,Sironko,UG2061,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,306572.9063
0.679793663,0.018193177,Budaka,UG202801,,,,Budaka,UG2028,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,143587.0313
1.923593529,0.149941549,Budiope,UG203801,,,,Buyende,UG2038,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,451606.125
1.535471625,0.058155945,Bufumbira,UG412101,,,,Kisoro,UG4121,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,331287.5938
2.125874249,0.082483212,Bugabula,UG204401,,,,Kamuli,UG2044,Eastern,UG2,Uganda,UG,2020-06-11,2020-08-24,,338845.6875
3.053349131,0.196669218,Bugahya,UG410601,,,,Hoima,UG4106,Western,UG4,Uganda,UG,2020-06-11,2020-08-24,,291135.5313
