GID_1,GID_0,COUNTRY,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,pop_2020,area_km2,pop_density_km2,urbanization,urbanization2,rural
KEN.1_1,KEN,Kenya,Baringo,NA,NA,County,County,"30",KE.BA,KE-01,899606.625,10891.1202591969,82.6000084096342,5.67750920180948,36.2846557827877,63.7153442172123
KEN.2_1,KEN,Kenya,Bomet,NA,NA,County,County,"36",KE.BO,KE-02,1242101.25,2389.14605856778,519.893392681317,14.7211124607318,59.4476979828812,40.5523020171188
KEN.3_1,KEN,Kenya,Bungoma,NA,NA,County,County,"39",KE.BN,KE-03,2390988.5,3589.18807755879,666.164170930336,26.1539912148663,66.5993759121585,33.4006240878415
KEN.4_1,KEN,Kenya,Busia,NA,NA,County,County,"40",KE.BS,KE-04,1095699.375,1807.59204223638,606.165190705523,13.9488267238219,60.3767188167791,39.6232811832209
KEN.5_1,KEN,Kenya,Elgeyo-Marakwet,NA,NA,County,County,"28",KE.EM,NA,577716.0625,2816.63599046089,205.108528207604,5.03523705598237,43.7662945094749,56.2337054905251
KEN.6_1,KEN,Kenya,Embu,NA,NA,County,County,"14",KE.EB,KE-06,764003.375,2917.56822559501,261.86307086073,8.67685725474848,48.4019757171872,51.5980242828128
KEN.7_1,KEN,Kenya,Garissa,NA,NA,County,County,"7",KE.GA,KE-07,1767886,44047.0496572345,40.1363091003221,10.0410404419073,32.4844509309546,67.5155490690454
KEN.8_1,KEN,Kenya,Homa Bay,NA,NA,County,County,"43",KE.HB,KE-08,1353275.125,4699.90110363655,287.936936365087,14.2214355388908,53.2557802739838,46.7442197260162
KEN.9_1,KEN,Kenya,Isiolo,NA,NA,County,County,"11",KE.IS,KE-09,214149.171875,25553.425141933,8.38044883163558,1.24844554772689,0.6588055372718,99.3411944627282
KEN.10_1,KEN,Kenya,Kajiado,NA,NA,County,County,"34",KE.KJ,KE-10,1129059.875,22091.9318297692,51.1073401683494,6.64543347893376,32.292198912384,67.707801087616
KEN.11_1,KEN,Kenya,Kakamega,NA,NA,County,County,"37",KE.KK,KE-11,2143275.5,2453.26798004404,873.641003524419,25.2486256240635,68.9789740153753,31.0210259846247
KEN.12_1,KEN,Kenya,Kericho,NA,NA,County,County,"35",KE.KR,KE-12,1262535.125,2587.84861854131,487.870548514406,14.6985134927159,58.8282630014264,41.1717369985736
KEN.13_1,KEN,Kenya,Kiambu,NA,NA,County,County,"22",KE.KB,KE-13,2158226.25,2585.30125564424,834.806483495165,25.1315683330359,68.5048323550908,31.4951676449092
KEN.14_1,KEN,Kenya,Kilifi,NA,NA,County,County,"3",KE.KF,KE-14,1742833.75,12708.168479558,137.142795423548,10.7901712140977,46.4414772118186,53.5585227881814
KEN.15_1,KEN,Kenya,Kirinyaga,NA,NA,County,County,"20",KE.KY,KE-15,755868.625,1564.15973017992,483.242606503527,10.0472792011334,55.337829208545,44.662170791455
KEN.16_1,KEN,Kenya,Kisii,NA,NA,County,County,"45",KE.KI,KE-16,1647265.125,1320.85308445084,1247.12213976839,23.1619352145984,71.3141214610524,28.6858785389476
KEN.17_1,KEN,Kenya,Kisumu,NA,NA,County,County,"42",KE.KU,KE-17,1410043.5,2676.78599951913,526.767362147482,16.2976802128218,60.4337970014562,39.5662029985438
KEN.18_1,KEN,Kenya,Kitui,NA,NA,County,County,"15",KE.KT,KE-18,1443103.875,30593.9434148199,47.1695935183352,8.32799592576177,32.9929240980994,67.0070759019006
KEN.19_1,KEN,Kenya,Kwale,NA,NA,County,County,"2",KE.KW,KE-19,973236.5625,8416.99003517384,115.627624415965,6.38216372145519,40.6496531687481,59.3503468312519
KEN.20_1,KEN,Kenya,Laikipia,NA,NA,County,County,"31",KE.LK,KE-20,653252.875,9566.9955662567,68.2819251326986,4.19858665674084,31.9985695510146,68.0014304489854
KEN.21_1,KEN,Kenya,Lamu,NA,NA,County,County,"5",KE.LM,KE-21,148686.390625,6750.02615330069,22.0275280788792,1.01489074143384,9.30508351142185,90.6949164885781
KEN.22_1,KEN,Kenya,Machakos,NA,NA,County,County,"16",KE.MC,KE-22,1550423.875,6061.30192058598,255.790570295517,15.8097525424323,52.7984665022219,47.2015334977781
